id,inauguration,pres,vp
1,"April 30, 1789",George Washington,John Adams
2,"March 4, 1797",John Adams,Thomas Jefferson
3,"March 4, 1801",Thomas Jefferson,Aaron Burr
4,"March 4, 1809",James Madison,George Clinton
5,"March 4, 1817",James Monroe,Daniel D. Tompkins
6,"March 4, 1825",John Quincy Adams,John C. Calhoun
7,"March 4, 1829",Andrew Jackson,John C. Calhoun
8,"March 4, 1837",Martin Van Buren,Richard Mentor Johnson
9,"March 4, 1841",William Henry Harrison,John Tyler
10,"April 4, 1841",John Tyler,Office vacant
11,"March 4, 1845",James K. Polk,George M. Dallas
12,"March 4, 1849",Zachary Taylor,Millard Fillmore
13,"July 9, 1850",Millard Fillmore,Office vacant
14,"March 4, 1853",Franklin Pierce,William R. King
15,"March 4, 1857",James Buchanan,John C. Breckinridge
16,"March 4, 1861",Abraham Lincoln,Hannibal Hamlin
17,"April 15, 1865",Andrew Johnson,Office vacant
18,"March 4, 1869",Ulysses S. Grant,Schuyler Colfax
19,"March 4, 1877",Rutherford B. Hayes,William A. Wheeler
20,"March 4, 1881",James A. Garfield,Chester A. Arthur
21,"September 19, 1881",Chester A. Arthur,Office vacant
22,"March 4, 1885",Grover Cleveland,Thomas A. Hendricks
23,"March 4, 1889",Benjamin Harrison,Levi P. Morton
24,"March 4, 1893",Grover Cleveland,Adlai Stevenson
25,"March 4, 1897",William McKinley,Garret Hobart
26,"September 14, 1901",Theodore Roosevelt,Office vacant
27,"March 4, 1909",William Howard Taft,James S. Sherman
28,"March 4, 1913",Woodrow Wilson,Thomas R. Marshall
29,"March 4, 1921",Warren G. Harding,Calvin Coolidge
30,"August 2, 1923",Calvin Coolidge,Office vacant
31,"March 4, 1929",Herbert Hoover,Charles Curtis
32,"March 4, 1933",Franklin D. Roosevelt,John Nance Garner
33,"April 12, 1945",Harry S. Truman,Office vacant
34,"January 20, 1953",Dwight D. Eisenhower,Richard Nixon
35,"January 20, 1961",John F. Kennedy,Lyndon B. Johnson
36,"November 22, 1963",Lyndon B. Johnson,Office vacant
37,"January 20, 1969",Richard Nixon,Spiro Agnew
38,"August 9, 1974",Gerald Ford,Office vacant
39,"January 20, 1977",Jimmy Carter,Walter Mondale
40,"January 20, 1981",Ronald Reagan,George H. W. Bush
41,"January 20, 1989",George H. W. Bush,Dan Quayle
42,"January 20, 1993",Bill Clinton,Al Gore
43,"January 20, 2001",George W. Bush,Dick Cheney
44,"January 20, 2009",Barack Obama,Joe Biden
45,"January 20, 2017",Donald Trump,Mike Pence
